CMDLINE ./a.out /MMCI/TM/scratch/ghaffari/experiments/grem/hgvg-filtered/vg/1000genomes-sv-filtered-af_ge_1/wg.vg
MEM 3439.765625 1594659047.7884
MEM 3584.398438 1594659047.8890
MEM 3549.207031 1594659047.9897
MEM 3563.386719 1594659048.0903
MEM 3567.511719 1594659048.1909
MEM 3714.207031 1594659048.2916
MEM 3883.847656 1594659048.3922
MEM 4028.480469 1594659048.4928
MEM 4151.714844 1594659048.5936
MEM 3943.460938 1594659048.6942
MEM 4071.851562 1594659048.7949
MEM 4200.757812 1594659048.8955
MEM 4328.632812 1594659048.9962
MEM 4455.152344 1594659049.0969
MEM 4224.285156 1594659049.1975
MEM 4228.406250 1594659049.2982
MEM 4232.531250 1594659049.3988
MEM 4235.367188 1594659049.4995
MEM 4245.679688 1594659049.6001
MEM 4256.250000 1594659049.7008
MEM 4267.593750 1594659049.8014
MEM 4268.367188 1594659049.9020
MEM 4268.367188 1594659050.0027
MEM 4279.964844 1594659050.1033
MEM 4285.894531 1594659050.2040
MEM 4285.894531 1594659050.3046
MEM 4287.957031 1594659050.4053
MEM 4292.082031 1594659050.5059
MEM 4295.949219 1594659050.6066
MEM 4299.812500 1594659050.7072
MEM 4311.671875 1594659050.8079
MEM 4322.757812 1594659050.9085
MEM 4326.746094 1594659051.0092
MEM 4326.746094 1594659051.1099
MEM 4333.335938 1594659051.2105
MEM 4344.164062 1594659051.3112
MEM 4346.484375 1594659051.4118
MEM 4350.609375 1594659051.5124
MEM 4354.734375 1594659051.6131
MEM 4358.859375 1594659051.7137
MEM 4360.664062 1594659051.8144
MEM 4370.203125 1594659051.9150
MEM 4380.515625 1594659052.0157
MEM 4388.250000 1594659052.1163
MEM 4388.250000 1594659052.2170
MEM 4390.828125 1594659052.3176
MEM 4404.234375 1594659052.4183
MEM 4405.781250 1594659052.5189
MEM 4405.781250 1594659052.6195
MEM 4408.875000 1594659052.7202
MEM 4413.000000 1594659052.8209
MEM 4415.578125 1594659052.9215
MEM 4429.500000 1594659053.0222
MEM 4439.812500 1594659053.1228
MEM 4451.156250 1594659053.2234
MEM 4452.703125 1594659053.3241
MEM 4452.703125 1594659053.4247
MEM 4465.335938 1594659053.5253
MEM 4578.773438 1594659053.6260
MEM 4696.078125 1594659053.7266
MEM 4817.507812 1594659053.8273
MEM 4940.742188 1594659053.9280
MEM 4972.968750 1594659054.0286
MEM 4466.390625 1594659054.1292
MEM 4470.437500 1594659054.2299
MEM 4470.437500 1594659054.3305
MEM 4470.437500 1594659054.4312
MEM 4471.468750 1594659054.5318
MEM 4475.593750 1594659054.6325
MEM 4478.425781 1594659054.7331
MEM 4488.996094 1594659054.8338
MEM 4500.339844 1594659054.9344
MEM 4503.476562 1594659055.0350
MEM 4503.476562 1594659055.1356
MEM 4509.843750 1594659055.2364
MEM 4520.671875 1594659055.3371
MEM 4520.671875 1594659055.4377
MEM 4522.218750 1594659055.5384
